source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
ratings,2023-01-31,2023,Contempt,https://boxd.it/2aJe,3.5,,,,,,
reviews,2023-01-31,2023,Contempt,https://boxd.it/3MUWND,3.5,,"""Why don't you love me anymore?""
""That's life...""

❤️",,2023-01-30,,
diary,2023-02-04,2023,Thunivu,https://boxd.it/3O2uPB,3,,,,2023-02-04,,
ratings,2023-02-04,2023,Thunivu,https://boxd.it/y85g,3,,,,,,
diary,2023-02-05,2023,Palm Springs,https://boxd.it/3OCnin,3.5,,,,2023-02-05,,
ratings,2023-02-05,2023,Palm Springs,https://boxd.it/lCXQ,3.5,,,,,,
reviews,2023-02-05,2023,Palm Springs,https://boxd.it/3OCnin,3.5,,"Yesterday is today
Today is today
And
Tomorrow is today


Wish I am in that damn black box...",,2023-02-05,,
diary,2023-02-06,2023,Submarine,https://boxd.it/3OE9Yt,3.5,,,,2023-02-05,,
diary,2023-02-06,2023,Your Name.,https://boxd.it/3OJuGl,4,,,,2023-02-05,,
ratings,2023-02-06,2023,Submarine,https://boxd.it/H4a,3.5,,,,,,
ratings,2023-02-06,2023,Your Name.,https://boxd.it/cUqs,4,,,,,,
reviews,2023-02-06,2023,Submarine,https://boxd.it/3OE9Yt,3.5,,"I'm basically kind of person who want to isolate myself and get other people's attention too....

So, this movie will be in my ""literally me"" list",,2023-02-05,,
reviews,2023-02-06,2023,Your Name.,https://boxd.it/3OJuGl,4,,I must own that braided cord...,,2023-02-05,,
diary,2023-02-11,2023,Eraserhead,https://boxd.it/3Q3Tev,4,,,,2023-02-10,,
ratings,2023-02-11,2023,Eraserhead,https://boxd.it/299u,4,,,,,,
reviews,2023-02-11,2023,Eraserhead,https://boxd.it/3Q3Tev,4,,Just wow,,2023-02-10,,
diary,2023-02-12,2023,The Virgin Suicides,https://boxd.it/3QkGNh,3.5,,,,2023-02-11,,
ratings,2023-02-12,2023,The Virgin Suicides,https://boxd.it/28JG,3.5,,,,,,
diary,2023-02-13,2023,The Hand of God,https://boxd.it/3QBWcb,3.5,,,,2023-02-12,,
ratings,2023-02-13,2023,The Hand of God,https://boxd.it/r5uI,3.5,,,,,,
diary,2023-02-19,2023,Dada,https://boxd.it/3Sdgrt,3,,,,2023-02-18,,
ratings,2023-02-19,2023,Dada,https://boxd.it/AtFy,3,,,,,,
diary,2023-02-20,2023,Dog Day Afternoon,https://boxd.it/3SvTHr,4,,,,2023-02-19,,
ratings,2023-02-20,2023,Dog Day Afternoon,https://boxd.it/29bg,4,,,,,,
reviews,2023-02-20,2023,Dog Day Afternoon,https://boxd.it/3SvTHr,4,,One of the best heist movie...,,2023-02-19,,
diary,2023-02-25,2023,Women Talking,https://boxd.it/3TYmW1,4,,,,2023-02-24,,
ratings,2023-02-25,2023,Women Talking,https://boxd.it/tdq4,4,,,,,,
reviews,2023-02-25,2023,Women Talking,https://boxd.it/3TYmW1,4,,"A good watch....
Women talking and I'm listening...",,2023-02-24,,
diary,2023-02-26,2023,Notting Hill,https://boxd.it/3UuXwt,3.5,,,,2023-02-26,,
